ClienteID;Origem;Idade;Salário Anual (R$);Nota (1-100);Profissão;Experiência Trabalho;Tamanho Família;
62;Normal;19;50000;67;Artista;9;2;
63;Promoção;67;50000;48;Advogado;0;3;
64;Promoção;54;48000;55;Advogado;1;2;
65;Normal;63;63000;51;Advogado;7;2;
66;Normal;18;9000;71;Entretenimento;0;2;
67;Promoção;43;3000;46;Doutor;0;2;
68;Promoção;68;82000;56;Artista;8;4;
69;Normal;19;81000;71;Artista;0;4;
70;Promoção;32;97000;43;Construção;2;2;
71;Normal;70;91000;55;Saúde;8;2;
72;Promoção;47;9000;50;Entretenimento;8;2;
73;Promoção;60;44000;57;Artista;0;5;
74;Promoção;60;10000;52;Saúde;8;4;
75;Normal;59;89000;59;Artista;0;4;
76;Normal;26;49000;54;Construção;0;3;
77;Promoção;45;67000;49;Doutor;0;2;
78;Normal;40;99000;60;Artista;4;3;
79;Promoção;23;97000;48;Engenheiro;2;2;
80;Promoção;49;não informado;38;;1;1;
81;Normal;57;52000;51;Saúde;0;4;
82;Normal;38;61000;55;Saúde;6;3;
83;Normal;67;120000;53;Artista;8;1;
84;Promoção;46;34000;52;Entretenimento;8;4;
85;Promoção;21;24000;58;Marketing;1;3;
86;Normal;48;31000;46;Saúde;7;5;
87;Promoção;55;11000;66;Artista;0;3;
88;Promoção;22;55000;63;Artista;5;2;
89;Promoção;34;76000;68;Entretenimento;7;3;
90;Promoção;50;56000;42;Doutor;0;2;
91;Promoção;68;46000;63;Entretenimento;0;3;
92;Normal;18;36000;53;Artista;1;4;
93;Normal;48;88000;61;Artista;1;2;
94;Promoção;40;31000;48;Entretenimento;1;2;
95;Promoção;32;24000;50;Artista;0;1;
96;Normal;24;80000;71;Artista;10;1;
97;Promoção;47;2000;55;Artista;0;1;
98;Promoção;27;67000;58;Artista;0;2;
99;Normal;48;58000;42;Doutor;1;2;
100;Normal;20;80000;49;Engenheiro;3;3;
101;Promoção;23;65000;49;Artista;0;4;
102;Promoção;49;4000;44;Executivo;1;7;
103;Normal;67;98000;71;Artista;0;3;
104;Normal;26;52000;55;Executivo;0;5;
105;Normal;49;86000;63;Saúde;10;2;
106;Promoção;21;82000;38;Doutor;1;2;
107;Promoção;66;43000;46;Construção;3;2;
108;Normal;54;78000;46;Advogado;1;1;
109;Normal;68;13000;43;Saúde;6;5;
110;Normal;66;13000;48;Saúde;9;3;
111;Normal;65;34000;64;Entretenimento;4;4;
112;Promoção;19;25000;62;Artista;0;1;
113;Promoção;38;71000;38;Doutor;1;5;
114;Normal;19;2000;58;Artista;1;1;
115;Promoção;18;97000;44;Executivo;0;3;
116;Promoção;19;51000;46;Executivo;8;4;
117;Promoção;63;9000;39;Advogado;1;1;
118;Promoção;49;79000;67;Artista;0;2;
119;Promoção;51;84000;39;;2;7;
120;Promoção;50;87000;65;Artista;1;2;
121;Normal;27;36000;56;Executivo;0;3;
122;Promoção;38;50000;36;Executivo;1;4;
123;Promoção;40;97000;54;Engenheiro;9;4;
124;Normal;39;6000;91;Saúde;1;3;
125;Promoção;23;12000;37;Entretenimento;9;2;
126;Promoção;31;46000;78;Marketing;1;2;
127;Normal;43;89000;35;Engenheiro;0;7;
128;Normal;40;4000;100;Artista;0;2;
129;Normal;59;38000;11;Engenheiro;0;2;
130;Normal;38;64000;87;Entretenimento;8;5;
131;Normal;47;66000;9;Executivo;9;5;
132;Normal;39;26000;75;Advogado;0;2;
133;Promoção;25;41000;30;Saúde;6;4;
134;Promoção;31;45000;79;Artista;5;1;
135;Normal;20;89000;5;Engenheiro;1;2;
136;Promoção;29;92000;84;Executivo;5;5;
137;Promoção;44;76000;15;Artista;5;2;
138;Normal;32;85000;85;Artista;3;4;
139;Normal;19;22000;15;Marketing;8;4;
140;Promoção;35;15000;80;Artista;4;4;
141;Promoção;57;32000;1;Engenheiro;0;2;
142;Normal;32;66000;100;Artista;0;5;
143;Promoção;28;62000;36;Doutor;5;3;
144;Promoção;32;85000;83;Advogado;1;2;
145;Normal;25;71000;12;Engenheiro;0;5;
146;Normal;28;26000;100;Marketing;8;5;
147;Normal;48;52000;36;Engenheiro;9;2;
148;Promoção;32;38000;70;Advogado;1;1;
149;Promoção;34;51000;18;Saúde;7;4;
150;Normal;34;90000;100;Artista;6;3;
151;Normal;43;30000;17;Advogado;0;9;
152;Normal;39;41000;88;Engenheiro;0;1;
153;Promoção;44;17000;16;Engenheiro;0;2;
154;Promoção;38;92000;84;Artista;2;2;
155;Promoção;47;80000;12;Saúde;0;4;
156;Promoção;27;10000;90;Marketing;8;4;
157;Normal;37;16000;1;Executivo;1;1;
158;Promoção;30;87000;86;Artista;3;4;
159;Normal;34;66000;1;Advogado;1;2;
160;Promoção;30;86000;81;Artista;3;3;
161;Promoção;56;9000;43;Artista;1;1;
162;Promoção;29;50000;79;Saúde;1;5;
163;Normal;19;35000;5;Executivo;0;5;
164;Promoção;31;58000;89;Saúde;1;5;
165;Normal;50;47000;26;Doutor;0;2;
166;Promoção;36;54000;83;Artista;5;3;
167;Normal;42;79000;20;Construção;9;3;
168;Promoção;33;83000;100;Artista;0;5;
169;Promoção;36;57000;35;Artista;0;3;
170;Normal;32;0;75;Artista;2;2;
171;Normal;40;69000;25;Artista;3;5;
172;Normal;28;4000;75;Executivo;0;2;
173;Normal;36;79000;10;Advogado;0;2;
174;Normal;36;99000;100;Artista;5;2;
175;Promoção;52;20000;9;Advogado;0;2;
176;Promoção;30;28000;94;Artista;3;4;
177;Normal;58;29000;22;Engenheiro;11;1;
178;Normal;27;45000;69;Saúde;2;6;
179;Normal;59;86000;14;Saúde;4;3;
180;Normal;35;42000;90;Engenheiro;8;1;
181;Promoção;37;59000;40;Artista;7;2;
182;Promoção;32;61000;94;Entretenimento;7;5;
183;Normal;46;11000;27;Artista;7;1;
184;Promoção;29;66000;96;Artista;4;4;
185;Promoção;41;39000;47;Artista;1;1;
186;Normal;30;72000;100;Artista;6;2;
187;Promoção;54;14000;20;Advogado;1;2;
188;Normal;28;44000;68;Doutor;5;3;
189;Promoção;41;76000;13;Engenheiro;8;2;
190;Promoção;36;95000;93;Artista;4;2;
191;Promoção;34;92000;31;Artista;5;3;
192;Promoção;32;98000;77;Artista;8;2;
193;Normal;33;96000;8;Executivo;9;2;
194;Promoção;38;45000;100;Artista;10;4;
195;Promoção;47;8000;24;Artista;7;2;
196;Promoção;35;46000;75;Executivo;1;3;
197;Promoção;45;78000;36;Artista;0;2;
198;Normal;32;4000;86;Artista;1;5;
199;Normal;32;81000;18;Executivo;1;2;
200;Normal;30;33000;95;Artista;4;2;
201;Promoção;21;40000;6;Saúde;0;3;
202;Normal;34;85000;16;Saúde;9;3;
203;Promoção;16;60000;1;Engenheiro;6;8;
204;Promoção;76;60000;35;Saúde;4;2;
205;Promoção;62;63000;67;Entretenimento;0;2;
206;Promoção;63;10000;48;Saúde;8;3;
207;Promoção;19;55000;57;Saúde;0;3;
208;Normal;46;93000;24;Artista;2;1;
209;Promoção;48;15000;3;Doutor;0;2;
210;Promoção;80;39000;29;Engenheiro;9;4;
211;Promoção;1;57000;62;Engenheiro;0;2;
212;Promoção;0;22000;80;Artista;0;1;
213;Normal;86;12000;75;Marketing;2;4;
214;Normal;49;50000;82;Advogado;8;1;
215;Normal;48;95000;68;Doutor;2;4;
216;Promoção;46;66000;66;Saúde;3;3;
217;Normal;79;20000;40;Doutor;6;2;
218;Promoção;83;35000;95;Doutor;8;2;
219;Promoção;66;71000;30;Executivo;9;2;
220;Promoção;59;76000;57;;9;1;
221;Promoção;39;84000;41;Artista;5;3;
222;Promoção;95;72000;47;Engenheiro;4;2;
223;Normal;43;33000;67;Artista;4;3;
224;Promoção;93;93000;33;Saúde;1;5;
225;Promoção;40;83000;44;Construção;4;1;
226;Promoção;78;23000;4;Engenheiro;1;1;
227;Promoção;25;40000;85;Artista;5;4;
228;Normal;76;89000;86;Saúde;9;4;
229;Normal;0;33000;42;Marketing;0;1;
230;Normal;15;94000;30;Saúde;7;2;
231;Promoção;6;93000;22;Advogado;0;2;
232;Normal;84;7000;28;Saúde;0;4;
233;Promoção;67;18000;84;Advogado;0;2;
234;Promoção;78;3000;10;Saúde;0;4;
235;Promoção;4;84000;42;Artista;0;1;
236;Promoção;29;62000;30;Saúde;0;4;
237;Normal;91;9000;96;Saúde;1;5;
238;Normal;95;36000;35;;0;4;
239;Normal;55;37000;74;Advogado;1;4;
240;Promoção;14;50000;19;Artista;1;2;
241;Normal;92;83000;16;Executivo;1;5;
242;Promoção;65;79000;25;Artista;0;3;
243;Promoção;84;40000;10;Saúde;1;4;
244;Promoção;77;47000;66;Artista;0;6;
245;Promoção;53;4000;28;Artista;0;4;
246;Promoção;28;38000;83;Entretenimento;7;2;
247;Normal;23;0;96;Doutor;1;3;
248;Promoção;32;7000;24;Artista;1;2;
249;Promoção;37;41000;13;Artista;1;2;
250;Promoção;89;65000;1;Engenheiro;0;5;
251;Normal;80;20000;93;Engenheiro;1;3;
252;Promoção;27;44000;61;Doutor;8;1;
253;Promoção;78;3000;22;Artista;5;4;
254;Promoção;86;72000;9;Advogado;7;3;
255;Promoção;46;27000;28;Engenheiro;4;4;
256;Normal;59;85000;49;Advogado;4;2;
257;Normal;12;38000;25;Executivo;10;1;
258;Normal;79;73000;96;Construção;6;7;
259;Promoção;79;64000;72;Artista;2;3;
260;Normal;26;26000;60;Executivo;6;4;
261;Promoção;63;47000;24;Artista;2;3;
262;Promoção;52;35000;81;Doutor;2;6;
263;Promoção;32;31000;20;Advogado;2;3;
264;Promoção;64;13000;34;Engenheiro;3;4;
265;Promoção;37;79000;6;Construção;1;7;
266;Normal;7;82000;31;Entretenimento;0;2;
267;Promoção;40;28000;76;Artista;1;1;
268;Promoção;78;36000;87;Artista;0;3;
269;Promoção;34;8000;84;Entretenimento;6;6;
270;Promoção;52;88000;47;Artista;1;2;
271;Normal;94;91000;48;Entretenimento;0;4;
272;Promoção;1;12000;51;Doutor;0;3;
273;Promoção;96;1000;84;Entretenimento;0;3;
274;Promoção;18;143000;100;Artista;0;2;
275;Promoção;37;18000;65;Artista;1;2;
276;Normal;78;65000;89;Advogado;1;2;
277;Normal;16;9000;88;Executivo;7;4;
278;Normal;93;95000;33;Artista;1;1;
279;Promoção;74;78000;8;Engenheiro;9;3;
280;Normal;68;48000;73;Saúde;3;3;
281;Promoção;32;63000;83;Executivo;1;4;
282;Promoção;43;85000;64;Marketing;1;2;
283;Promoção;52;43000;66;Artista;1;3;
284;Promoção;63;74000;28;Artista;1;2;
285;Promoção;33;67000;7;Saúde;0;1;
286;Normal;86;59000;52;Artista;0;1;
287;Promoção;85;140000;92;Entretenimento;1;1;
288;Promoção;73;31000;43;Saúde;1;2;
289;Promoção;21;5000;92;Marketing;0;1;
290;Promoção;93;19000;54;Engenheiro;1;3;
291;Normal;9;27000;54;Entretenimento;0;1;
292;Promoção;10;68000;49;Doutor;0;3;
293;Normal;11;38000;78;Artista;8;8;
294;Promoção;48;50000;32;Engenheiro;6;4;
295;Promoção;73;80000;81;Entretenimento;2;2;
296;Promoção;66;69000;39;Executivo;9;3;
297;Promoção;79;31000;87;Engenheiro;3;3;
298;Normal;62;87000;41;Doutor;6;2;
299;Normal;17;79000;28;Artista;1;3;
300;Normal;32;32000;98;Entretenimento;5;2;
301;Normal;85;153787;100;Entretenimento;3;3;
302;Normal;31;95851;16;Saúde;5;2;
303;Promoção;31;145015;69;Saúde;6;3;
304;Promoção;38;148539;3;Saúde;5;2;
305;Promoção;90;117319;17;Advogado;1;2;
306;Promoção;65;180243;27;Marketing;6;2;
307;Promoção;63;165052;20;Artista;4;2;
308;Promoção;61;120487;10;Doutor;0;2;
309;Normal;26;112766;83;Engenheiro;8;4;
310;Promoção;17;156488;61;Engenheiro;1;4;
311;Normal;56;97562;15;Executivo;5;6;
312;Promoção;12;77501;26;Engenheiro;5;4;
313;Promoção;24;118302;96;Advogado;5;1;
314;Promoção;13;64277;5;Executivo;9;4;
315;Normal;12;53927;77;Doutor;2;3;
316;Normal;72;93921;93;Advogado;9;2;
317;Promoção;54;132046;4;Construção;4;4;
318;Normal;45;183217;100;Artista;7;2;
319;Normal;66;182937;49;Marketing;8;1;
320;Promoção;27;68272;52;Saúde;8;4;
321;Normal;36;69841;28;Engenheiro;10;2;
322;Normal;5;69078;40;Advogado;0;1;
323;Promoção;89;110667;96;Saúde;2;4;
324;Normal;13;95469;94;Doutor;6;1;
325;Promoção;91;102861;48;Artista;4;1;
326;Normal;16;133551;19;Artista;3;1;
327;Promoção;63;64589;86;Engenheiro;7;1;
328;Normal;52;152755;39;Engenheiro;4;2;
329;Promoção;37;92313;54;Saúde;1;5;
330;Promoção;78;98922;13;Artista;2;3;
331;Normal;24;165846;33;Engenheiro;0;4;
332;Promoção;4;93713;31;Engenheiro;0;4;
333;Normal;84;137641;67;Saúde;0;5;
334;Normal;0;173743;80;Artista;0;4;
335;Promoção;67;116126;73;Entretenimento;10;2;
336;Promoção;32;112246;26;Saúde;8;3;
337;Promoção;39;69384;71;Saúde;1;5;
338;Promoção;68;76529;58;Saúde;0;2;
339;Promoção;7;123804;4;Doutor;0;1;
340;Promoção;76;68292;63;Artista;8;2;
341;Promoção;84;173185;100;Artista;3;1;
342;Normal;75;142034;94;Entretenimento;1;4;
343;Normal;22;107941;73;Artista;0;1;
344;Promoção;90;149840;57;Engenheiro;1;1;
345;Promoção;4;148431;68;Saúde;0;8;
346;Promoção;78;126599;80;Advogado;0;3;
347;Promoção;58;57180;18;Saúde;9;1;
348;Promoção;99;184426;49;Artista;9;1;
349;Promoção;24;151085;40;Marketing;2;5;
350;Promoção;88;166107;100;Artista;13;4;
351;Promoção;92;67850;99;Artista;9;4;
352;Normal;99;173394;11;Engenheiro;13;1;
353;Promoção;51;72303;94;Advogado;7;1;
354;Normal;23;181760;42;Saúde;14;3;
355;Promoção;13;146858;71;Doutor;9;1;
356;Normal;22;172923;20;Engenheiro;6;1;
357;Promoção;89;115811;90;Construção;11;4;
358;Normal;20;184324;63;Marketing;13;5;
359;Promoção;72;67353;15;Advogado;9;3;
360;Normal;17;165999;71;Saúde;9;3;
361;Normal;90;164914;30;Artista;8;3;
362;Normal;99;63364;73;Entretenimento;1;2;
363;Promoção;39;182352;69;Engenheiro;4;3;
364;Promoção;37;148544;64;Entretenimento;1;2;
365;Normal;46;62833;97;Artista;1;2;
366;Normal;65;120627;72;Saúde;0;2;
367;Promoção;60;130898;38;Artista;1;1;
368;Promoção;93;103130;77;Executivo;12;3;
369;Normal;72;106681;15;Saúde;9;5;
370;Promoção;36;87353;33;Entretenimento;1;5;
371;Normal;52;88046;73;Artista;8;1;
372;Promoção;72;98168;57;Entretenimento;1;2;
373;Promoção;28;178265;1;Advogado;2;1;
374;Promoção;48;167232;88;Doutor;6;4;
375;Normal;85;140478;43;Doutor;6;4;
376;Normal;22;159296;95;Artista;8;1;
377;Promoção;30;144043;74;Doutor;1;1;
378;Normal;46;72594;76;Artista;1;2;
379;Promoção;82;180288;85;Artista;2;2;
380;Promoção;73;165734;59;Entretenimento;0;1;
381;Normal;8;175407;1;Artista;0;1;
382;Normal;90;70201;8;Engenheiro;0;2;
383;Normal;34;91503;38;Artista;0;6;
384;Promoção;10;184522;31;Artista;0;2;
385;Promoção;79;143560;91;Artista;1;3;
386;Normal;83;131574;100;Artista;1;2;
387;Promoção;20;151124;33;Artista;15;3;
388;Promoção;25;67447;54;Artista;15;2;
389;Promoção;26;117454;4;Saúde;16;2;
390;Promoção;18;86203;26;Doutor;13;1;
391;Promoção;7;136231;1;Artista;0;1;
392;Normal;1;89144;1;Doutor;0;2;
393;Normal;21;119116;42;Artista;17;4;
394;Promoção;86;163463;39;Artista;9;4;
395;Promoção;75;151696;97;Artista;15;1;
396;Normal;78;184736;59;Advogado;13;1;
397;Promoção;87;70419;65;Construção;6;4;
398;Promoção;8;119104;36;Entretenimento;0;3;
399;Normal;59;130950;28;Executivo;5;3;
400;Normal;13;140950;96;Artista;15;2;
401;Promoção;55;82285;31;Engenheiro;16;1;
402;Promoção;50;91389;95;Saúde;11;7;
403;Normal;54;186359;100;Doutor;13;2;
404;Normal;13;178989;53;Doutor;14;3;
405;Normal;79;166335;45;Engenheiro;5;5;
406;Promoção;65;119889;19;Artista;17;6;
407;Promoção;51;66852;76;Executivo;15;3;
408;Normal;18;103896;36;Executivo;16;4;
409;Normal;21;187761;87;Saúde;2;3;
410;Normal;37;102717;93;Saúde;7;4;
411;Normal;83;102647;95;Entretenimento;0;2;
412;Promoção;96;113585;27;Advogado;0;4;
413;Promoção;65;86509;96;Artista;0;4;
414;Normal;80;59099;49;Marketing;1;7;
415;Promoção;75;135088;1;Advogado;1;5;
416;Promoção;87;110870;74;Engenheiro;1;4;
417;Promoção;86;187667;20;Artista;0;1;
418;Promoção;36;124614;33;Artista;8;5;
419;Promoção;78;166492;36;Construção;9;7;
420;Promoção;62;172758;77;Entretenimento;1;2;
421;Normal;89;122430;19;Saúde;1;1;
422;Promoção;56;183540;100;Entretenimento;0;6;
423;Promoção;35;96484;42;Artista;5;4;
424;Normal;33;112587;83;Artista;1;4;
425;Promoção;58;155672;79;Entretenimento;7;7;
426;Promoção;68;72847;100;Artista;1;2;
427;Normal;38;71897;44;Entretenimento;2;3;
428;Normal;31;158479;57;Doutor;1;5;
429;Normal;90;89251;16;Entretenimento;1;1;
430;Normal;28;179911;24;Engenheiro;1;1;
431;Normal;1;111558;58;Saúde;0;4;
432;Normal;78;127615;85;Executivo;10;7;
433;Promoção;23;50076;40;Artista;3;5;
434;Promoção;25;77779;70;Artista;4;1;
435;Normal;59;169999;38;Engenheiro;5;5;
436;Promoção;7;106581;45;Doutor;0;7;
437;Promoção;24;78223;37;Advogado;0;1;
438;Normal;76;136259;14;;0;7;
439;Normal;37;153399;100;Entretenimento;1;6;
440;Promoção;6;162858;79;Artista;0;1;
441;Promoção;0;57373;1;;0;7;
442;Normal;3;133602;39;Artista;0;1;
443;Promoção;95;66322;96;Artista;0;3;
444;Promoção;0;68761;1;Advogado;0;4;
445;Normal;7;70749;80;Artista;0;3;
446;Normal;54;65874;99;Artista;7;6;
447;Normal;89;115996;31;Engenheiro;15;1;
448;Promoção;58;67097;87;Engenheiro;6;1;
449;Promoção;12;108027;79;Artista;13;5;
450;Normal;7;176349;53;Saúde;0;2;
451;Normal;11;88452;40;Saúde;8;6;
452;Normal;74;128266;55;Engenheiro;7;4;
453;Promoção;64;156777;16;Saúde;7;2;
454;Promoção;48;123234;53;Advogado;10;7;
455;Promoção;8;60790;26;Artista;0;5;
456;Promoção;15;181332;100;Artista;14;6;
457;Normal;1;187297;1;Artista;0;1;
458;Promoção;21;153885;94;Artista;6;6;
459;Normal;84;53500;49;Marketing;3;4;
460;Promoção;5;69443;1;Doutor;0;6;
461;Promoção;47;124072;52;Advogado;0;7;
462;Promoção;96;135800;25;Saúde;0;7;
463;Normal;93;120597;100;Artista;2;4;
464;Promoção;16;91358;19;Entretenimento;1;4;
465;Normal;56;53231;46;Marketing;0;5;
466;Promoção;76;156330;27;Engenheiro;1;2;
467;Normal;0;186002;60;Doutor;0;2;
468;Promoção;70;111760;56;Executivo;12;5;
469;Promoção;47;143906;20;Artista;4;3;
470;Normal;13;182410;29;Saúde;11;4;
471;Normal;86;98463;53;Construção;10;5;
472;Normal;91;93762;73;Artista;15;7;
473;Normal;97;104582;50;Saúde;8;2;
474;Normal;20;130813;100;Artista;17;5;
475;Promoção;11;59202;88;Saúde;5;4;
476;Promoção;28;79968;41;Advogado;9;2;
477;Normal;32;104824;54;Artista;0;7;
478;Normal;82;188719;30;Advogado;0;6;
479;Normal;39;187536;66;Saúde;3;6;
480;Normal;7;134008;77;Entretenimento;0;1;
481;Promoção;13;176397;79;Artista;6;3;
482;Promoção;34;154888;39;Saúde;9;6;
483;Normal;76;155622;81;Saúde;0;2;
484;Promoção;30;62330;56;Saúde;1;1;
485;Promoção;69;112838;30;Saúde;1;7;
486;Normal;22;58283;59;Construção;2;4;
487;Promoção;60;77857;89;Artista;1;6;
488;Normal;66;125024;37;Artista;0;1;
489;Promoção;57;136242;42;Artista;9;1;
490;Promoção;60;81934;77;Saúde;1;4;
491;Promoção;59;130511;100;Artista;3;4;
492;Promoção;54;144502;84;Advogado;3;1;
493;Normal;90;63769;18;Artista;4;2;
494;Promoção;14;66760;28;Artista;0;4;
495;Promoção;34;135115;62;Entretenimento;1;7;
496;Promoção;85;179877;20;Saúde;12;4;
497;Promoção;83;93351;61;Doutor;1;1;
498;Normal;12;84547;96;Construção;3;3;
499;Normal;95;121725;10;;12;3;
500;Normal;41;65723;100;Artista;6;7;
501;Promoção;38;96794;92;Saúde;6;3;
502;Normal;68;72352;61;Saúde;8;5;
503;Promoção;4;53097;1;Saúde;0;7;
504;Promoção;5;144831;5;Artista;0;3;
505;Promoção;3;183851;1;Doutor;0;2;
506;Promoção;20;111896;86;Executivo;1;3;
507;Promoção;3;64824;1;Executivo;0;1;
508;Normal;36;88565;16;Saúde;1;5;
509;Promoção;70;104974;71;Artista;1;1;
510;Promoção;17;167060;55;Artista;1;5;
511;Promoção;31;69018;25;Artista;6;1;
512;Promoção;48;174109;100;Entretenimento;0;1;
513;Normal;28;62186;34;Marketing;0;1;
514;Normal;97;183783;70;Saúde;9;3;
515;Normal;81;83771;13;Artista;1;2;
516;Promoção;37;148196;99;Artista;0;2;
517;Normal;85;131742;99;Entretenimento;1;1;
518;Promoção;78;59971;97;Construção;14;7;
519;Promoção;13;88960;56;Entretenimento;13;3;
520;Promoção;53;140107;34;Saúde;1;5;
521;Promoção;41;161896;57;Entretenimento;1;3;
522;Promoção;9;57272;29;Engenheiro;0;1;
523;Normal;20;119952;2;Saúde;8;2;
524;Promoção;98;167197;59;Doutor;1;5;
525;Promoção;44;186116;1;Saúde;8;6;
526;Promoção;66;134677;62;Saúde;15;5;
527;Promoção;58;180479;70;Saúde;0;3;
528;Normal;97;112783;33;Artista;9;6;
529;Normal;13;150258;17;Doutor;0;3;
530;Normal;48;115832;100;Artista;2;2;
531;Promoção;47;104834;52;Artista;0;7;
532;Normal;93;152571;73;Doutor;14;5;
533;Promoção;11;162287;41;Engenheiro;3;2;
534;Promoção;68;171761;55;Doutor;1;6;
535;Promoção;87;77709;81;Artista;0;1;
536;Promoção;22;95053;25;Entretenimento;1;2;
537;Normal;89;74820;33;Doutor;1;2;
538;Normal;57;152267;92;Engenheiro;9;5;
539;Normal;91;71925;26;Artista;4;2;
540;Promoção;84;151340;100;Artista;1;7;
541;Normal;56;162921;51;Executivo;0;4;
542;Promoção;26;52234;26;Executivo;1;2;
543;Promoção;56;100271;95;Artista;1;5;
544;Promoção;6;170266;11;Artista;0;2;
545;Promoção;33;88763;13;Entretenimento;1;1;
546;Promoção;89;107359;29;;10;6;
547;Normal;99;164781;83;Engenheiro;0;2;
548;Promoção;25;156016;93;Artista;2;1;
549;Promoção;96;186882;48;Entretenimento;1;7;
550;Promoção;35;99300;84;Construção;5;2;
551;Normal;16;58127;70;Marketing;0;3;
552;Promoção;81;89211;8;Doutor;1;7;
553;Promoção;7;148607;28;Construção;0;7;
554;Promoção;31;139592;63;Marketing;1;1;
555;Promoção;16;172051;58;Saúde;1;3;
556;Normal;89;57033;100;Artista;0;4;
557;Normal;84;117612;63;Engenheiro;0;6;
558;Normal;40;185321;100;Artista;0;7;
559;Promoção;17;186577;1;Saúde;8;5;
560;Normal;0;151298;80;Artista;0;6;
561;Promoção;69;123925;60;Artista;1;7;
562;Promoção;17;169496;15;Advogado;11;6;
563;Promoção;0;142892;13;Entretenimento;0;1;
564;Promoção;34;58979;13;Entretenimento;9;5;
565;Promoção;51;141416;100;Saúde;15;1;
566;Normal;54;104854;67;Saúde;1;7;
567;Promoção;19;180331;22;Artista;17;5;
568;Promoção;99;172896;9;Engenheiro;0;3;
569;Promoção;2;101451;51;Saúde;0;3;
570;Promoção;91;189974;33;Engenheiro;8;1;
571;Normal;65;90084;77;Artista;1;6;
572;Promoção;47;112247;20;Executivo;4;5;
573;Promoção;91;181775;69;Artista;4;5;
574;Promoção;64;59088;39;Artista;1;3;
575;Promoção;91;60856;31;Artista;1;6;
576;Normal;32;149900;46;Artista;6;3;
577;Normal;15;142776;98;Engenheiro;8;5;
578;Normal;22;162598;96;Artista;8;3;
579;Promoção;37;146195;85;Saúde;4;4;
580;Normal;83;135268;53;Advogado;4;5;
581;Promoção;89;136037;6;Marketing;5;1;
582;Promoção;33;111191;75;Artista;9;4;
583;Promoção;13;144111;77;Entretenimento;12;5;
584;Promoção;71;177359;52;Doutor;6;2;
585;Promoção;10;112818;66;Marketing;0;7;
586;Normal;49;53509;100;Artista;5;4;
587;Promoção;9;168269;51;Executivo;0;2;
588;Promoção;53;86766;1;Advogado;16;3;
589;Promoção;63;52661;28;Saúde;12;5;
