CódigoCompra;Data;Fornecedor;Produto;Quantidade;ValorUnitário;ValorFinal
65126;01/12/2023;Fabrica Hashtag Europa;Pneus - Linha B;1;413.9;413.9
65126;01/12/2023;Fabrica Hashtag Europa;Terminal de Direção - Linha Premium;3;305.76;917.29
65126;01/12/2023;Fabrica Hashtag Europa;Volante - Linha Premium;2;1191.57;2383.15
65129;01/12/2023;Original Fábrica EUA;Volante - Linha C;2;700.93;1401.85
65131;01/12/2023;Revenda Asia;Bomba d'agua - Linha B;2;636.99;1273.97
65131;01/12/2023;Revenda Asia;Filtro de Óleo - Linha C;4;25;99.98
65131;01/12/2023;Revenda Asia;Terminal de Direção - Linha B;2;156.4;312.8
65132;01/12/2023;Fabrica Doidona Asia;Filtro de Óleo - Linha C;2;25;49.99
65132;01/12/2023;Fabrica Doidona Asia;Kit Embreagem - Linha Premium;1;854.34;854.34
65133;01/12/2023;Original Fábrica Asia;Kit Embreagem - Linha Premium;1;854.34;854.34
65133;01/12/2023;Original Fábrica Asia;Rolamento das Rodas - Linha B;1;216.09;216.09
65133;01/12/2023;Original Fábrica Asia;Condensador - Linha C;2;912.39;1824.79
65135;01/12/2023;Original Fábrica Mexico;Filtro Combustível - Linha B;2;210.84;421.68
65136;01/12/2023;Revenda EUA;Filtro Combustível - Linha A;1;183.34;183.34
65136;01/12/2023;Revenda EUA;Rolamento das Rodas - Linha B;3;216.09;648.26
65137;01/12/2023;Original Fábrica EUA;Filtro Combustível - Linha Premium;4;412.19;1648.78
65139;01/12/2023;Fabrica Hashtag Asia;Rolamento das Rodas - Linha C;2;248.5;497
65140;01/12/2023;Revenda Mexico;Pneus - Linha B;2;413.9;827.79
65141;01/12/2023;Fabrica Doidona Europa;Logo Hashtag - Linha Premium;1;22.48;22.48
65141;01/12/2023;Fabrica Doidona Europa;Terminal de Direção - Linha B;3;156.4;469.2
65143;01/12/2023;Fabrica Doidona Argentina;Terminal de Direção - Linha C;3;179.86;539.58
65144;01/12/2023;Fabrica Hashtag Internacional;Barra Estabilizadora - Linha A;1;395.8;395.8
65145;01/12/2023;Original Fábrica EUA;Bomba d'agua - Linha Premium;4;1245.31;4981.22
65145;01/12/2023;Original Fábrica EUA;Condensador - Linha C;2;912.39;1824.79
65146;01/12/2023;Original Fábrica Asia;Óleo Motor - Linha B;3;297.85;893.55
65148;01/12/2023;Fabrica Doidona Asia;Caixa de Marcha - Linha Premium;3;11218.77;33656.3
65150;01/12/2023;Fabrica Hashtag Asia;Filtro de Óleo - Linha Premium;1;42.49;42.49
65151;01/12/2023;Revenda EUA;Volante - Linha Premium;1;1191.57;1191.57
65152;01/12/2023;Original Fábrica Brasil;Filtro Combustível - Linha Premium;2;412.19;824.39
65152;01/12/2023;Original Fábrica Brasil;Terminal de Direção - Linha A;3;136;408
65154;01/12/2023;Revenda Brasil;Filtro de Óleo - Linha A;2;18.9;37.8
65154;01/12/2023;Revenda Brasil;Farol Principal - Linha C;3;211.47;634.4
65155;01/12/2023;Fabrica Doidona Asia;Filtro Combustível - Linha C;1;242.47;242.47
65155;01/12/2023;Fabrica Doidona Asia;Radiador - Linha A;1;256.9;256.9
65155;01/12/2023;Fabrica Doidona Asia;Barra Estabilizadora - Linha B;4;455.17;1820.68
65157;01/12/2023;Fabrica Doidona Brasil;Rolamento das Rodas - Linha C;3;248.5;745.49
65159;01/12/2023;Fabrica Hashtag Internacional;Foto do Lira - Linha C;2;1150.58;2301.15
65160;01/12/2023;Fabrica Hashtag Internacional;Farol Principal - Linha B;5;183.89;919.43
65160;01/12/2023;Fabrica Hashtag Internacional;Volante - Linha B;1;609.5;609.5
65160;01/12/2023;Fabrica Hashtag Internacional;Barra Estabilizadora - Linha C;4;523.45;2093.78
65161;01/12/2023;Fabrica Doidona Asia;Rolamento das Rodas - Linha B;1;216.09;216.09
65165;01/12/2023;Fabrica Hashtag Brasil;Radiador - Linha B;1;295.44;295.44
65168;01/12/2023;Fabrica Doidona Brasil;Condensador - Linha A;2;689.9;1379.8
65169;01/12/2023;Fabrica Hashtag EUA;Filtro Combustível - Linha B;4;210.84;843.36
65170;01/12/2023;Fabrica Hashtag Internacional;Filtro Combustível - Linha B;2;210.84;421.68
65171;01/12/2023;Original Fábrica Mexico;Terminal de Direção - Linha A;1;136;136
65174;01/12/2023;Fabrica Hashtag Asia;Rolamento das Rodas - Linha B;2;216.09;432.17
65175;01/12/2023;Fabrica Doidona Mexico;Kit Embreagem - Linha B;2;437;874
65176;01/12/2023;Original Fábrica Brasil;Filtro Combustível - Linha B;1;210.84;210.84
65176;01/12/2023;Original Fábrica Brasil;Correia - Linha A;1;119.92;119.92
65177;01/12/2023;Fabrica Hashtag Asia;Rolamento das Rodas - Linha C;1;248.5;248.5
65179;01/12/2023;Revenda Europa;Bomba d'agua - Linha B;1;636.99;636.99
65179;01/12/2023;Revenda Europa;Kit Embreagem - Linha B;5;437;2185
65179;01/12/2023;Revenda Europa;Radiador - Linha Premium;2;577.58;1155.15
65179;01/12/2023;Revenda Europa;Radiador - Linha Premium;2;577.58;1155.15
65180;01/12/2023;Fabrica Doidona Brasil;Filtro de Óleo - Linha A;1;18.9;18.9
65183;01/12/2023;Fabrica Hashtag Asia;Barra Estabilizadora - Linha B;2;455.17;910.34
65185;01/12/2023;Original Fábrica Brasil;Kit Embreagem - Linha C;2;502.55;1005.1
65185;01/12/2023;Original Fábrica Brasil;Kit Embreagem - Linha C;1;502.55;502.55
65186;01/12/2023;Fabrica Hashtag Asia;Correia - Linha C;1;158.59;158.59
65189;01/12/2023;Revenda Argentina;Pneus - Linha Premium;1;809.17;809.17
65189;01/12/2023;Revenda Argentina;Terminal de Direção - Linha B;2;156.4;312.8
65192;01/12/2023;Fabrica Hashtag EUA;Foto do Lira - Linha B;1;1000.5;1000.5
65193;01/12/2023;Fabrica Doidona Argentina;Kit Embreagem - Linha C;3;502.55;1507.65
65193;01/12/2023;Fabrica Doidona Argentina;Rolamento das Rodas - Linha A;1;187.9;187.9
65193;01/12/2023;Fabrica Doidona Argentina;Filtro Combustível - Linha C;1;242.47;242.47
65193;01/12/2023;Fabrica Doidona Argentina;Pneus - Linha A;5;359.91;1799.55
65194;01/12/2023;Revenda Mexico;Farol Principal - Linha A;3;159.9;479.7
65196;01/12/2023;Revenda Argentina;Caixa de Marcha - Linha A;2;4990;9980
65196;01/12/2023;Revenda Argentina;Rolamento das Rodas - Linha C;1;248.5;248.5
65196;01/12/2023;Revenda Argentina;Pneus - Linha B;1;413.9;413.9
65197;01/12/2023;Revenda Europa;Logo Hashtag - Linha B;2;11.5;23
65200;01/12/2023;Fabrica Hashtag Asia;Óleo Motor - Linha B;2;297.85;595.7
65200;01/12/2023;Fabrica Hashtag Asia;Filtro Combustível - Linha B;5;210.84;1054.21
65201;01/12/2023;Revenda Asia;Volante - Linha A;2;530;1060
65202;01/12/2023;Fabrica Hashtag Europa;Filtro de Óleo - Linha B;1;21.74;21.74
65202;02/12/2023;Fabrica Hashtag Europa;Foto do Lira - Linha C;1;1150.58;1150.58
65204;02/12/2023;Fabrica Hashtag EUA;Foto do Lira - Linha B;1;1000.5;1000.5
65204;02/12/2023;Fabrica Hashtag EUA;Bateria - Linha A;1;479;479
65204;02/12/2023;Fabrica Hashtag EUA;Óleo Motor - Linha Premium;2;582.3;1164.59
65205;02/12/2023;Original Fábrica Argentina;Volante - Linha C;1;700.93;700.93
65206;02/12/2023;Fabrica Hashtag Europa;Caixa de Marcha - Linha A;3;4990;14970
65207;02/12/2023;Fabrica Doidona Brasil;Bomba d'agua - Linha Premium;2;1245.31;2490.61
65207;02/12/2023;Fabrica Doidona Brasil;Foto do Lira - Linha A;2;870;1740
65208;02/12/2023;Fabrica Doidona EUA;Radiador - Linha C;3;339.75;1019.25
65210;02/12/2023;Fabrica Hashtag Brasil;Radiador - Linha Premium;1;577.58;577.58
65211;02/12/2023;Fabrica Hashtag Argentina;Barra Estabilizadora - Linha C;1;523.45;523.45
65212;02/12/2023;Fabrica Hashtag Mexico;Mola de pressão - Linha Premium;4;89.08;356.3
65215;02/12/2023;Fabrica Doidona Asia;Mola de pressão - Linha Premium;1;89.08;89.08
65215;02/12/2023;Fabrica Doidona Asia;Filtro de Óleo - Linha Premium;2;42.49;84.98
65216;02/12/2023;Original Fábrica Asia;Kit Embreagem - Linha B;2;437;874
65216;02/12/2023;Original Fábrica Asia;Filtro de Óleo - Linha B;3;21.74;65.21
65217;02/12/2023;Revenda Europa;Logo Hashtag - Linha A;2;10;20
65217;02/12/2023;Revenda Europa;Condensador - Linha A;4;689.9;2759.6
65221;02/12/2023;Fabrica Hashtag Argentina;Óleo Motor - Linha A;1;259;259
65222;02/12/2023;Original Fábrica Brasil;Radiador - Linha B;1;295.44;295.44
65225;02/12/2023;Original Fábrica Europa;Barra Estabilizadora - Linha Premium;1;889.86;889.86
65226;02/12/2023;Fabrica Hashtag EUA;Terminal de Direção - Linha A;3;136;408
65227;02/12/2023;Original Fábrica Mexico;Filtro de Óleo - Linha A;2;18.9;37.8
65227;02/12/2023;Original Fábrica Mexico;Correia - Linha C;1;158.59;158.59
65228;02/12/2023;Fabrica Hashtag Europa;Pneus - Linha Premium;3;809.17;2427.5
65230;02/12/2023;Fabrica Doidona Europa;Correia - Linha B;1;137.91;137.91
65231;02/12/2023;Fabrica Doidona Mexico;Radiador - Linha B;2;295.44;590.87
65233;02/12/2023;Revenda Argentina;Óleo Motor - Linha Premium;2;582.3;1164.59
65235;02/12/2023;Fabrica Doidona Mexico;Barra Estabilizadora - Linha C;5;523.45;2617.23
65235;02/12/2023;Fabrica Doidona Mexico;Óleo Motor - Linha Premium;5;582.3;2911.48
65235;02/12/2023;Fabrica Doidona Mexico;Caixa de Marcha - Linha A;3;4990;14970
65236;02/12/2023;Fabrica Hashtag Mexico;Filtro Combustível - Linha A;4;183.34;733.36
65237;02/12/2023;Revenda Brasil;Bomba d'agua - Linha Premium;1;1245.31;1245.31
65238;02/12/2023;Fabrica Doidona Argentina;Correia - Linha B;4;137.91;551.63
65238;02/12/2023;Fabrica Doidona Argentina;Bateria - Linha B;2;550.85;1101.7
65238;02/12/2023;Fabrica Doidona Argentina;Foto do Lira - Linha A;3;870;2610
65239;02/12/2023;Revenda Argentina;Filtro de Óleo - Linha A;2;18.9;37.8
65239;02/12/2023;Revenda Argentina;Barra Estabilizadora - Linha C;1;523.45;523.45
65241;02/12/2023;Original Fábrica Brasil;Kit Embreagem - Linha C;2;502.55;1005.1
65242;02/12/2023;Original Fábrica Europa;Logo Hashtag - Linha B;2;11.5;23
65242;02/12/2023;Original Fábrica Europa;Kit Embreagem - Linha Premium;1;854.34;854.34
65243;02/12/2023;Fabrica Hashtag Internacional;Bateria - Linha A;1;479;479
65246;02/12/2023;Original Fábrica Asia;Filtro de Óleo - Linha C;3;25;74.99
65247;02/12/2023;Fabrica Doidona Mexico;Terminal de Direção - Linha C;2;179.86;359.72
65249;02/12/2023;Fabrica Doidona EUA;Óleo Motor - Linha A;3;259;777
65250;02/12/2023;Original Fábrica EUA;Mola de pressão - Linha B;3;45.56;136.69
65250;02/12/2023;Original Fábrica EUA;Bateria - Linha C;2;633.48;1266.96
65250;02/12/2023;Original Fábrica EUA;Correia - Linha B;1;137.91;137.91
65251;02/12/2023;Fabrica Hashtag Brasil;Pneus - Linha Premium;1;809.17;809.17
65252;02/12/2023;Fabrica Doidona Argentina;Volante - Linha C;2;700.93;1401.85
65254;02/12/2023;Fabrica Hashtag Internacional;Condensador - Linha C;1;912.39;912.39
65255;02/12/2023;Fabrica Doidona Asia;Filtro Combustível - Linha C;2;242.47;484.93
65255;02/12/2023;Fabrica Doidona Asia;Bateria - Linha A;3;479;1437
65255;02/12/2023;Fabrica Doidona Asia;Bomba d'agua - Linha C;2;732.53;1465.07
65256;02/12/2023;Revenda Asia;Rolamento das Rodas - Linha Premium;3;422.45;1267.34
65260;02/12/2023;Revenda EUA;Pneus - Linha A;2;359.91;719.82
65260;02/12/2023;Revenda EUA;Filtro de Óleo - Linha Premium;2;42.49;84.98
65261;02/12/2023;Fabrica Hashtag Asia;Pneus - Linha C;2;475.98;951.96
65261;02/12/2023;Fabrica Hashtag Asia;Filtro de Óleo - Linha B;1;21.74;21.74
65261;02/12/2023;Fabrica Hashtag Asia;Farol Principal - Linha A;3;159.9;479.7
65262;02/12/2023;Original Fábrica Mexico;Terminal de Direção - Linha Premium;2;305.76;611.52
65263;02/12/2023;Revenda Argentina;Farol Principal - Linha Premium;5;359.5;1797.48
65263;02/12/2023;Revenda Argentina;Bomba d'agua - Linha A;5;553.9;2769.5
65267;02/12/2023;Original Fábrica Europa;Bateria - Linha B;1;550.85;550.85
65268;02/12/2023;Fabrica Hashtag Europa;Farol Principal - Linha B;3;183.89;551.66
65269;02/12/2023;Revenda EUA;Correia - Linha A;2;119.92;239.84
65270;02/12/2023;Original Fábrica EUA;Barra Estabilizadora - Linha C;5;523.45;2617.23
65271;02/12/2023;Original Fábrica Brasil;Kit Embreagem - Linha C;2;502.55;1005.1
65272;02/12/2023;Fabrica Hashtag Internacional;Kit Embreagem - Linha C;2;502.55;1005.1
65273;02/12/2023;Fabrica Hashtag Mexico;Bomba d'agua - Linha B;3;636.99;1910.96
65274;02/12/2023;Fabrica Doidona EUA;Filtro de Óleo - Linha B;1;21.74;21.74
65275;02/12/2023;Fabrica Doidona Europa;Bateria - Linha C;2;633.48;1266.96
65276;02/12/2023;Revenda EUA;Rolamento das Rodas - Linha A;3;187.9;563.7
65276;02/12/2023;Revenda EUA;Barra Estabilizadora - Linha Premium;3;889.86;2669.57
65276;02/12/2023;Revenda EUA;Bateria - Linha A;1;479;479
65276;02/12/2023;Revenda EUA;Bomba d'agua - Linha C;2;732.53;1465.07
65277;02/12/2023;Fabrica Hashtag Argentina;Volante - Linha Premium;5;1191.57;5957.86
65279;02/12/2023;Fabrica Doidona Asia;Foto do Lira - Linha C;4;1150.58;4602.3
65279;02/12/2023;Fabrica Doidona Asia;Rolamento das Rodas - Linha B;1;216.09;216.09
65279;02/12/2023;Fabrica Doidona Asia;Filtro Combustível - Linha Premium;1;412.19;412.19
65280;02/12/2023;Original Fábrica EUA;Condensador - Linha C;1;912.39;912.39
65280;02/12/2023;Original Fábrica EUA;Terminal de Direção - Linha Premium;2;305.76;611.52
65283;02/12/2023;Revenda EUA;Rolamento das Rodas - Linha C;3;248.5;745.49
65284;02/12/2023;Revenda Europa;Condensador - Linha C;2;912.39;1824.79
65284;02/12/2023;Revenda Europa;Óleo Motor - Linha Premium;2;582.3;1164.59
65286;02/12/2023;Revenda Asia;Correia - Linha B;5;137.91;689.54
65287;02/12/2023;Fabrica Hashtag Internacional;Foto do Lira - Linha Premium;2;1955.98;3911.96
65287;02/12/2023;Fabrica Hashtag Internacional;Condensador - Linha C;1;912.39;912.39
65288;02/12/2023;Original Fábrica Brasil;Farol Principal - Linha C;3;211.47;634.4
