Preco,TipoBarco,TipoVenda,Ano,Comprimento,Largura,Material
8500,8,2,1998,7.9,2.5,2
10500,4,2,2019,3.38,1.36,6
9750,12,2,1980,8.5,3,7
10500,2,2,2011,4.5,1.95,3
9650,4,2,1994,5.5,2.2,3
10400,4,2,1984,6,2.3,3
9599,7,2,1992,5.65,2.2,3
9575,4,1,2016,4.88,2.03,3
9553,13,1,2019,4.8,2,3
9500,7,2,1964,8.4,2.85,7
9500,4,1,2019,5.7,2.1,3
9500,13,2,1985,6.8,2.5,3
9500,7,2,1975,9,3,7
11000,4,2,1991,6.18,2.42,3
11000,9,2,2006,7,1.9,6
11000,2,2,2006,6,1.6,3
10115,4,1,2020,4.99,2.1,3
10900,5,3,2020,4.5,1.65,3
10000,4,2,1993,8.5,2.6,3
10000,4,2,1979,7.25,2.37,3
10000,12,2,1978,7.8,2.45,7
10000,14,2,1975,12,3,7
10000,7,2,1940,12.5,2.5,7
10000,4,2,1991,7.15,2.36,3
10000,4,2,1995,7.02,2.52,4
10000,7,2,1995,7.02,2.52,4
11000,4,2,1988,6.3,2.34,3
11000,13,2,1974,4.9,2.1,3
11000,7,2,1997,6.5,2.4,3
11000,4,2,1996,7.03,2.54,4
11000,11,2,1971,5.79,2.2,6
11000,7,2,1998,6.13,2.39,3
11000,4,2,1992,7.8,2.59,3
11000,13,2,2000,6,2.4,3
11000,7,2,1986,7.4,2.5,3
11000,4,2,1987,7.62,2.97,3
10999,8,1,2020,5.07,2.12,3
10999,4,1,2020,5.1,2.1,3
10999,4,1,2020,5.2,2.22,3
10990,7,2,2003,4.7,2.3,3
10990,7,1,1977,6.7,2.3,3
12000,4,2,1993,7.75,2.75,4
12000,10,2,1990,6.43,2.25,3
12000,7,2,1973,7,1.9,6
12000,7,2,1979,6.5,2.2,3
12000,4,2,1988,6.16,2.49,5
12000,7,2,1978,7.2,2.95,3
12000,7,2,1970,7.75,2.65,7
11990,4,1,2019,4.6,1.8,2
11990,4,2,2005,5,4.96,4
12950,4,1,2019,5.3,2.39,3
12900,5,1,2020,5,1.9,3
12900,14,4,2019,4.5,1.75,2
12800,4,2,2019,4.8,2,3
12770,11,1,2020,4.9,1.9,3
12500,8,1,2019,5,2,3
12500,12,2,1973,8.5,3.1,7
12500,12,2,1913,14.7,3.65,7
12500,4,2,1994,5.6,2.2,3
12500,7,2,1983,7.2,2.85,3
12500,10,2,1965,6.12,2.22,6
12500,10,2,1950,6,2.2,6
14800,7,2,1984,7.05,2.5,3
13690,8,1,2014,5,2,4
14700,11,1,2018,4.57,1.93,3
13500,4,2,1998,5.95,2.48,3
13500,4,2,1997,6.4,2.54,3
13500,6,2,1999,6.16,2.48,4
13500,13,2,1995,7.75,2.57,3
13500,4,2,1996,7,2,4
13500,1,2,2002,5.45,2.15,3
13500,4,2,1990,8.8,2.79,3
13500,8,2,2014,4.5,2,4
13500,4,2,2006,6.5,2.44,7
13500,15,2,1963,6,2.4,6
14500,11,2,1998,3,2,4
15600,2,3,2020,5.76,2.25,3
14366,5,1,2018,4.9,2.08,3
15500,1,2,2006,5.25,2.16,3
14200,4,1,2019,5.68,1.99,3
14000,4,2,1997,9.15,3,3
14000,4,2,1990,6.42,2.38,3
14000,7,2,2008,4.99,2.07,3
14900,4,1,2014,4.7,1.85,3
14900,13,2,1983,10,3,3
14900,9,1,2020,5.55,2.18,3
14900,2,1,2019,4.7,1.95,2
14900,7,2,1948,8.25,2.65,6
14900,16,2,1980,9.1,3.14,3
14900,7,2,1984,7.9,2.5,3
14900,8,2,2017,5.15,2.15,4
14900,12,2,1975,10.3,3,7
14900,9,1,2020,5.55,2.18,3
14900,12,2,2001,8.3,3,7
14900,7,2,2002,5,2.1,3
15500,7,2,1995,6.5,2.5,3
15500,4,2,1979,6.5,2.5,3
15500,13,2,1993,9.2,2.98,3
15500,12,2,1976,9.5,3.2,7
15500,12,2,1979,7,2.5,3
15499,7,1,2020,5.5,2.29,3
15490,8,1,2017,5,2,4
15446,1,3,2020,5.48,2.36,3
15400,1,1,2019,6,2.25,3
17684,2,1,2020,4.7,2.02,2
17500,6,2,1992,6.19,2.4,3
16220,1,1,2020,5.48,2.36,3
16190,4,1,2019,5.15,2.08,3
17500,9,2,1995,7.2,2.57,3
17400,6,3,2020,6.4,2.25,3
17400,1,1,2019,5,2,2
16000,4,2,1998,7.35,2.6,3
16900,6,2,2017,6.45,2.25,4
16900,7,2,1992,6.3,2.34,3
16900,1,2,2019,5.6,2.16,3
16900,7,2,1985,8.04,3.06,3
16900,13,2,2005,7.15,2.59,4
16900,13,2,2005,7.15,2.59,4
16900,4,2,2003,5.47,2.34,4
16900,12,2,1995,5.7,2.8,3
18260,11,4,2019,5.01,2.01,3
16870,4,1,2020,5.53,2.24,3
18210,1,1,2020,5.83,2.03,3
18200,2,1,2020,4.95,2.03,2
18200,13,2,1997,6.5,2.5,1
17500,10,2,1960,6.85,2.3,6
17500,8,2,2005,6.22,2.47,4
17500,13,2,1976,10,3.2,7
17500,13,2,1930,22,4.7,7
17500,6,2,2010,5.4,2.4,3
17500,10,2,1960,5,2.1,6
17500,12,2,1984,8.6,2.8,7
17490,7,2,1984,7,2,3
17490,7,2,1977,7.5,2.75,3
18900,2,1,2019,5,1.94,2
17500,12,2,1978,8.5,3.25,7
18900,4,2,2001,5.71,2.34,5
18900,4,2,1990,6.5,2.45,5
19500,17,2,1998,5.9,2.32,3
18000,13,2,1990,7.96,2.47,3
18000,6,2,2003,6.2,2,3
18000,7,2,1993,7.35,2.72,3
18000,4,2,2004,6.21,2.48,4
18000,16,2,1993,8,2.94,3
18000,11,2,2009,5.59,2.29,4
18000,4,2,1989,7.06,2.36,3
18000,6,2,1981,8.8,3.5,3
18800,4,2,2015,5.33,2.25,4
18750,1,1,2020,6.15,2.27,3
18700,1,2,2019,6,2,3
18700,4,2,1990,6.5,2.4,3
18690,1,1,2020,6.1,2.4,3
20000,7,2,1991,7.62,2.59,3
19990,4,2,2008,4.67,2.16,3
19990,7,2,1991,7.22,2.57,3
18600,6,2,1985,7,2.6,3
20100,2,1,2020,6.4,2.25,3
19900,5,1,2020,5,1.9,3
19900,4,2,1993,6.14,2.34,5
18515,4,1,2020,4.86,1.96,2
19500,12,2,1981,8.2,3.1,7
19500,7,2,1975,8.2,3.1,3
19500,7,2,2005,6.1,2.25,7
19500,13,2,2010,5,2.27,3
19500,7,2,1996,8.95,2.59,3
19490,7,2,2003,5.89,2.37,3
21000,9,2,2014,5.95,2.27,3
20950,13,1,2018,4.99,1.97,3
19300,1,1,2020,5.1,2.1,3
20800,9,1,2020,9,1.7,6
19900,8,1,2019,6.12,2.44,3
19900,4,1,2018,4.78,1.95,3
19900,16,2,1980,9,3,3
19900,13,2,1976,9,3.2,3
19900,13,2,1997,7.5,2.59,3
19900,11,2,1995,7.83,2.58,4
19900,4,2,1996,6.16,2.29,3
19900,4,2,1994,4.95,1.97,2
19900,4,2,2002,6.97,2.44,4
19900,8,2,2006,6.23,2.3,4
19900,7,2,1984,8.15,2.9,3
19900,4,2,1970,5.1,2.02,6
19900,7,2,2017,5.7,2.25,3
19900,13,2,1969,8.5,3.1,7
20499,6,1,2020,5.75,2.54,3
20490,4,1,2018,6.08,2.37,3
22110,1,1,2020,5.3,2.15,3
22000,4,2,1989,8.5,3,3
22000,9,2,1992,7.63,2.5,3
22000,11,2,1993,7.6,2.47,3
22000,7,2,1978,8.12,2.75,3
22000,18,2,2001,6.01,2.3,3
22000,4,2,1993,6.77,2.28,3
22000,6,2,2006,6.5,2.43,3
21900,12,2,1972,7.8,2.6,7
21396,6,3,2020,5.64,2.45,3
23000,6,1,2019,6.6,2.47,3
23000,7,2,1992,7,2.43,3
23000,4,2,2020,4.75,1.9,3
22900,4,2,2016,5.01,2.28,8
22900,4,2,2004,5.5,2.05,3
21090,4,1,2019,5.67,2.25,3
21000,4,2,1991,6.45,2.4,3
21000,11,2,1996,6.35,2.54,3
21000,7,2,1997,8,2.59,3
21000,4,2,1989,9.23,3.18,4
21000,7,2,1992,8.8,2.98,3
22000,6,2,2010,6.4,2.53,4
22000,6,2,2010,6.4,2.53,4
22000,17,2,2007,6,2.33,3
22000,16,2,1978,10.45,3.43,3
22000,13,2,1979,9.5,3.2,3
22000,1,2,1996,7.5,2.59,3
22000,4,2,1989,7,2.48,3
22000,10,2,1968,5.2,1.8,6
22000,13,2,1991,10.8,2.5,3
21990,12,1,1980,10,3,7
22880,4,3,2020,5.47,2.29,3
22850,8,1,2020,5.65,2.2,3
22800,8,1,2020,5.28,2.09,2
22772,9,1,2018,5.18,2.29,2
22765,6,3,2020,5.79,2.46,3
22700,1,2,2003,7.15,2.51,4
22680,13,3,2020,5.42,2.32,3
24500,19,2,1988,7.28,2.54,3
24500,10,2,1976,9.3,3.4,3
24500,7,2,2015,6.19,2.48,3
22520,8,1,2020,6.25,2.3,3
23640,11,1,2017,6.06,2.2,3
25500,4,2,2001,5.78,2.5,3
23530,4,1,2020,4.54,1.85,3
23500,12,1,1982,9.3,3,7
25000,6,2,1988,8.66,3.04,3
25000,4,2,1997,7.85,2.54,3
25000,4,2,1992,8.35,2.5,3
25000,10,2,1965,6,1.9,6
25000,2,3,2020,6.6,1.85,3
23290,8,1,2019,5.6,2.25,3
24900,19,2,1995,9.25,2.65,3
25990,4,2,2006,7.3,2.75,3
26000,7,2,1995,7.5,2.5,3
26000,4,2,1990,7.55,2.51,3
25950,2,1,2020,5.3,2,3
24000,8,2,2005,7.2,2.53,4
24000,13,2,1984,7.68,2.78,3
24000,6,2,1989,7.5,2.9,4
24000,6,2,2006,7.26,2.59,4
24000,10,2,1968,5.65,2.05,6
24000,9,2,1987,7.5,2.45,3
24900,10,2,1961,7.25,2.25,6
24900,13,2,1990,8,2.5,3
24900,10,2,1937,7.6,2.6,6
24900,4,2,2017,6.1,2.5,3
24900,9,1,2018,6.5,2.4,3
24900,9,1,2019,6.05,2.42,3
24900,7,2,1995,8.61,2.9,3
24900,17,2,1995,5,2,3
24900,13,2,2008,6.5,2.42,3
24900,7,1,1970,9.5,3.2,7
24900,13,2,1996,8.9,2.9,3
24900,7,2,2013,6,1.9,6
24900,4,2,2002,7.39,2.66,3
24900,6,2,2007,7.07,2.78,4
24900,9,1,2020,6.05,2.42,3
25000,4,2,1998,7.5,2.5,3
25000,6,2,2007,6.66,2.64,4
25000,11,2,2007,6,2,4
25000,4,2,2006,7.8,2.59,3
25000,16,2,1996,8.22,2.99,3
25000,4,2,1986,6.4,2.2,3
25000,4,2,2001,7.45,2.64,3
25000,4,2,1991,9.81,3.41,3
25000,4,2,2001,7.5,2.5,3
25000,15,2,2012,6.7,2.3,2
25000,9,1,2017,6.5,3,7
25000,7,2,1983,7.62,2.8,3
25000,4,2,2006,7.65,2.5,3
25000,15,2,2001,7.38,2.62,3
25000,16,2,1979,10.6,3.6,3
28000,7,2,1996,8.05,2.59,5
25900,7,2,1995,8.05,2.59,3
25900,2,2,2008,7.14,2.57,3
25900,1,1,2018,6,2,4
25900,13,2,1981,9.9,9.9,3
25900,4,2,1987,8.26,2.57,3
25900,4,2,2007,6.7,2.5,4
25900,13,2,1979,10.3,3.25,3
25900,13,2,1991,6.77,2.28,3
25900,7,2,1995,7.6,2.59,3
26800,9,1,2020,6.6,2.45,3
28900,6,1,2017,5.1,2.13,3
28900,1,1,2019,4.98,2,2
28900,17,2,1996,2.32,5.6,3
28900,1,1,2019,5,2,2
28900,7,2,1990,8.1,2.45,3
26700,9,1,2020,6.5,2.4,3
26700,9,1,2020,6.5,2.4,3
26620,8,1,2020,6.1,2.33,3
28500,11,2,2014,6.15,2.2,3
28700,11,4,2018,5.3,2.2,3
26537,1,1,2020,6.77,2.48,3
29500,2,1,2020,4.6,1.85,2
29500,13,2,2018,5.47,2.29,3
29500,7,2,1996,8.43,2.62,3
29500,13,2,1989,9.1,3,3
29500,18,2,2002,6.3,2.25,5
27120,4,3,2020,5.07,2.12,3
29200,2,1,2020,6.28,2.24,3
27000,13,2,1981,9.8,3.3,3
27000,13,2,1992,9.5,3.29,3
27000,14,2,1984,9.75,3.2,3
27900,14,1,2020,7.52,2.43,2
27900,4,1,2016,6.08,2.37,3
27900,6,1,2018,6.5,2.48,3
27900,9,1,2019,6.05,2.4,3
27900,13,2,1991,8.25,2.89,3
27900,4,2,1992,8.78,2.75,3
27900,7,2,2007,7.05,2.47,3
27900,7,2,2007,7.05,2.47,3
29900,10,2,1983,5.7,2.2,6
29900,19,2,1992,7.75,2.48,3
31000,4,2,2001,6.1,2.3,3
28546,1,2,2020,6.43,2.5,4
28500,14,1,2020,7.65,2.48,2
28500,7,2,2004,8.25,2.7,3
28500,4,2,1997,8.69,3,3
28500,4,2,2005,9.2,3,3
28500,8,2,2012,5.8,2.29,3
28500,4,2,1992,9,3,3
28500,10,2,2013,5.38,1.75,6
28500,7,2,1993,7.2,2.5,3
28500,13,2,1998,8.83,3.04,3
29000,8,1,2018,6.75,2.54,3
29000,9,2,2010,7,2.55,3
29000,7,2,2005,7.05,2.47,3
29000,13,2,1979,11,3.78,3
29000,4,2,2001,6.86,2.59,3
29000,13,2,1993,10.72,3.6,3
29000,7,2,1993,8.05,2.85,3
29000,4,2,2000,7.57,2.59,3
29000,13,2,1990,9.2,3.25,3
29000,6,2,1987,8.77,3.18,3
29000,12,2,1973,10,3.2,7
29000,6,2,2000,7.9,2.8,4
29000,4,2,2009,7.01,2.5,4
29900,12,2,1994,8,3.2,7
29900,4,2,1992,7.85,2.47,4
29900,4,2,2006,6.96,2.55,3
29900,7,2,1984,9.1,3.3,3
29900,4,2,1987,8.23,3.05,3
29800,4,4,2019,5.6,2.23,3
29800,11,2,2018,5.21,2.36,4
29800,4,2,2005,6.26,2.3,3
29750,7,2,1963,9.4,2.8,7
29650,4,1,2019,5.07,2.12,3
32000,4,2,2018,5.65,2.2,3
28600,13,2,1999,8.75,2.85,3
29500,4,2,2001,7.5,2.59,3
30000,10,2,1954,7.5,2.4,6
30000,13,2,2008,8.01,2.85,3
30000,7,2,1995,8.13,2.5,3
30000,10,2,1978,7.8,2.67,3
30000,13,2,1970,10,3.25,3
30000,4,2,2008,7,2,3
30000,4,2,2001,9.4,2.96,4
30000,7,2,2002,9,3,3
30000,4,2,2010,5.87,2.32,3
30000,9,2,2015,7.8,2.5,3
30000,13,2,1991,10.2,3.5,3
30000,7,2,1989,11.9,3.2,7
30900,8,2,2018,5.5,2.34,4
30900,13,2,1979,10,3.5,3
30825,11,1,2019,6.05,2.25,3
30820,4,3,2020,5.07,2.12,3
30810,13,1,2019,6.05,2.25,3
33000,7,2,1991,10.3,3.3,7
27995,18,2,1996,8.38,3.2,4
30699,11,3,2020,5.7,2.26,3
33000,13,2,1989,8.5,2.55,3
32730,2,1,2018,6.03,1.9,3
32000,4,2,1996,8.73,2.98,3
32000,4,2,1995,7,2.59,9
34500,7,2,2005,6.5,2.42,3
31900,4,2,2000,9,2,3
31900,6,2,2010,7.23,2.78,4
31900,4,2,1999,7.62,2.59,3
31900,4,2,2001,6.7,2.5,5
31830,11,1,2019,5.2,2.1,3
29000,6,2,2002,6.99,2.76,4
31800,20,1,2020,12.5,4.2,6
34340,8,1,2020,6.12,2.4,3
34000,4,2,1984,10.8,3.1,3
32500,12,2,1982,8.6,2.8,7
32500,9,1,2019,6.5,2.4,3
32500,7,2,2006,7.6,2.5,3
32500,5,1,2019,6.99,2.55,3
32500,12,2,1959,39.13,5.1,7
32500,13,2,1969,9.4,3.1,7
32500,12,2,1980,10.8,3.25,7
32500,4,2,1991,9.95,2.74,3
32500,4,2,1990,8.85,2.9,3
32500,12,2,1977,10.3,3.15,7
32500,13,2,1909,11.5,3.6,7
32500,4,2,2002,8.76,3,4
32490,12,1,1980,11.65,3.25,7
32490,1,2,2018,6.24,2.5,4
33000,4,2,2007,7.3,2.55,4
33000,16,2,1989,11.34,3.68,3
33000,6,2,2015,5.79,2.46,4
33000,10,2,1986,10.6,3.25,6
33000,4,2,2006,7.62,2.56,3
33000,4,2,2008,7,2,3
33000,6,2,2012,7.23,2.78,4
33000,4,3,2020,6.52,2.44,3
33000,1,2,2013,8.05,2.5,4
33000,7,2,2000,9.1,2.9,3
33000,4,2,2006,6.1,2.5,9
33000,6,2,2012,7.3,2.78,3
33000,7,2,2004,8.39,2.39,3
33000,4,2,2002,8.5,3,3
34000,6,1,2017,5.72,2.4,4
34000,8,2,2019,6.17,2.5,2
34000,4,2,2012,7.65,2.98,4
34000,7,2,1993,9.2,3,3
34000,7,2,2005,7.92,2.59,3
33900,4,2,2005,7.9,2.55,3
33900,7,2,1997,9.5,3,3
33900,7,2,2004,8,2,3
33900,4,2,2000,8.46,2.76,3
34900,8,2,2017,6.4,2.52,4
34900,4,2,2006,7.5,2.64,4
34900,7,2,2002,8.44,2.97,3
34900,1,1,2020,7.45,2.5,3
34900,9,2,2006,7.49,2.7,3
34900,4,2,1998,9,3,3
34900,4,2,2007,7,2,4
34900,2,1,2000,8,2.8,3
34900,4,2,2012,6.82,2.51,4
34900,20,2,1980,11.7,3.5,7
34900,13,2,1981,13,2.5,2
34828,6,1,2019,6.4,2.45,3
34800,9,4,2020,7.75,2.55,3
34800,4,2,1999,7,2.6,3
35000,11,2,2004,7.92,2.44,3
35000,4,2,2009,6.83,2.59,3
35000,8,2,2016,6.23,2.52,4
35000,13,2,1990,9.3,3.2,3
35000,4,2,1987,6.15,2,3
35000,6,2,2004,8.25,2.94,4
35000,4,2,2009,7.25,2.57,3
35000,6,2,2003,8.35,2.95,4
35000,6,2,2005,7.6,2.75,4
35000,4,2,1997,7.75,3.21,3
35000,4,2,1994,9.7,3.2,3
35000,2,2,2017,6.35,2.5,3
35000,7,2,1996,9.69,3.07,3
35000,13,2,1992,9.95,3.15,3
35000,13,2,1968,9.7,3.3,7
35499,11,1,2020,6.2,2.34,3
35450,7,3,2020,5.94,2.4,3
35419,1,1,2020,5.56,2.26,4
35400,4,1,2020,6.9,1.78,2
35250,11,1,2020,5.7,2.26,3
35200,6,2,2016,5.75,2.54,4
35200,6,2,2016,5.75,2.54,4
38000,13,2,1998,11.5,2.85,3
38000,8,2,2007,7.3,2.59,2
38000,4,2,2002,7.16,2.59,3
38000,5,2,1992,5.3,2.14,6
38000,4,2,2004,6.94,2.27,3
37950,4,1,2019,6.58,2.38,3
36414,1,1,2020,7.74,2.52,3
39000,13,2,2005,8.04,2.89,3
39000,7,2,1992,7.8,2.5,3
39220,11,1,2020,5.73,2.29,3
36250,4,2,2009,6.6,2.3,2
39170,7,1,2020,6.02,2.34,3
39000,12,1,2018,7.5,2.5,3
39000,7,2,1995,6.65,2.42,5
38950,7,2,1988,7.15,2.63,3
36000,16,2,2000,7.87,2.59,3
40459,11,1,2019,6.06,2.2,3
40000,7,2,1996,7.8,2.65,3
40290,13,1,2020,6.74,2.55,3
39900,4,2,2012,6.8,2.59,3
40040,4,1,2019,5.94,2.4,3
40000,7,2,2003,7.15,2.95,5
37000,6,1,2020,6.4,2.4,3
37000,11,2,2017,5.66,2.17,2
37000,9,2,2005,8.1,2.55,3
37000,4,2,2009,7.8,2.9,4
37000,6,2,2004,7.28,2.89,4
37000,4,2,2003,8.86,2.98,3
37000,7,2,1926,7.32,1.95,6
38000,6,2,2002,8.4,3.05,4
38000,4,1,2020,6,2.34,3
38000,4,2,1997,7.75,3.21,3
38000,8,2,2019,6.23,2.52,4
38000,16,2,1989,10,3.45,4
38000,9,2,2020,7.75,2.55,3
38000,12,2,1990,9.7,3.6,4
38000,11,2,2004,8.99,2.95,3
38000,10,2,2007,6.5,1.8,6
38000,13,2,2020,11.8,3.25,5
38000,7,2,2014,7.8,2.45,3
38000,6,2,2002,9.18,3.1,4
38900,9,2,2017,6.5,2.4,3
38900,7,2,1995,8.35,2.85,3
38900,4,2,1991,9,3,3
42000,10,2,1963,5.3,1.9,6
42000,6,2,2012,6.4,2.1,2
38794,6,3,2020,7.43,2.81,3
38748,6,1,2018,6,2,4
38700,1,1,2020,5.56,2.23,4
42000,7,2,1993,8.5,2.75,5
42000,4,2,2000,9,2.93,3
42270,11,1,2020,5.49,2.2,3
39000,6,1,2020,6.05,2.32,2
39000,13,2,1994,9.92,3.1,3
39000,6,2,2007,8.6,2.56,3
39000,1,2,2006,11,2.34,3
39000,4,2,2004,9.3,2.99,3
39000,4,2,1979,11.68,3.88,3
39000,4,2,2008,9.14,2.77,3
39000,7,2,1974,9.6,3.2,4
39000,4,2,1985,9.45,3.25,3
39000,6,1,2018,8.5,2.8,4
39000,4,2,2005,8.57,2.83,4
39000,8,2,2018,6.22,2.49,4
39888,6,1,2019,6.6,2.5,3
39800,1,1,2020,6.04,2.26,4
43000,10,2,1969,6.1,2.16,6
39750,7,2,1995,8.35,2.85,3
39642,4,1,2018,6.4,2.25,2
42800,7,2,2018,6.5,2.43,3
42800,2,2,1992,9.24,3.1,3
39500,4,1,2010,6.8,2.49,3
39500,6,2,2000,8.6,3,3
39500,4,2,2004,8.46,2.85,3
39500,13,2,1999,9.14,3.02,3
39999,7,1,2020,5.75,2.54,3
39999,13,2,2019,6.1,2.54,3
39990,6,1,2020,6.2,2.44,4
39990,12,1,1979,10.92,3.8,7
39990,12,1,1989,11,3.25,7
39990,12,1,1988,9.8,3,7
39950,7,2,2002,7.2,2.8,3
39922,6,1,2019,5.52,2.4,4
39900,4,2,1992,9,3,3
39900,19,2,1992,8.3,2.5,3
39900,4,2,2001,8.38,2.85,3
39900,13,2,1993,10.85,3.85,3
40999,6,1,2020,7.76,2.85,3
40900,1,1,2020,5.56,2.23,7
40800,4,2,2005,8.8,3,3
43990,6,4,2017,5.5,2.24,3
40650,4,1,2020,5.5,2.29,3
43500,4,1,2008,5.1,2.3,8
36928,6,1,2020,5.77,2.44,4
40500,6,2,1999,8.45,2.8,4
40465,6,4,2019,6.45,2.45,3
40410,11,1,2020,5.7,2.15,3
38870,12,2,1979,12.48,3.85,7
41900,16,2,1996,10,3,3
41900,8,2,2018,5.23,2.52,4
41900,4,1,2019,5.99,2.21,3
41900,6,2,2018,5.9,2.5,3
41900,4,3,2020,5.7,2.38,3
41900,1,1,2020,5.56,2.23,7
41900,4,1,2020,6.1,2.34,3
41884,21,1,2020,8,3,4
41766,8,1,2018,6,2,4
41666,7,3,2020,7.23,2.55,3
45000,10,2,1969,5.7,2.16,6
45000,12,2,1993,7.76,3.07,3
45000,7,2,1999,7.47,2.5,3
42500,13,2,1979,12.5,3.5,4
42500,14,2,1984,8,3,3
42499,8,1,2020,7.88,2.55,3
45900,11,2,2018,6.2,2.55,3
42300,8,1,2020,7,2.5,3
42300,7,2,2003,8.2,2.57,3
45700,11,1,2019,5.73,2.29,3
42200,4,3,2020,6.66,2.55,3
46517,4,1,2020,7.15,2.45,3
43000,16,2,1976,12,3.84,3
43000,4,2,2013,6.7,2.5,3
43000,6,2,1983,6.99,2.5,3
43000,13,2,1989,9.85,3.05,3
43000,13,2,2008,8.95,2.95,3
43000,8,2,2018,5.23,2.52,4
43000,4,2,2003,7.92,2.56,3
43000,6,2,2016,6.97,2.84,4
43000,2,2,1992,8.1,2.5,3
43000,13,2,2002,9.68,3.02,4
43000,7,2,2011,7.34,2.78,3
43000,7,2,1987,8.95,3.5,3
43000,13,2,1999,10.2,3.41,3
44000,11,2,2012,6.58,2.59,4
44000,13,2,2003,9.83,3.36,4
44000,1,2,2015,6.98,2.53,4
44000,6,2,2008,7.48,2.95,4
44000,6,2,2008,7.48,2.95,4
44000,4,2,2001,8.5,2.99,4
44000,6,2,2018,6.48,2.5,4
44000,6,2,2004,9.18,3.1,4
44000,9,2,2020,9,2.72,3
44000,11,2,2018,6,2,4
44000,1,2,2015,7.64,2.73,4
43999,11,3,2020,6.48,2.46,3
43904,8,2,2019,6.23,2.52,4
44900,6,2,2017,6.63,2.48,4
44900,8,1,2019,6.4,2.48,4
44900,7,2,2017,6.35,2.45,3
44900,4,2,2007,9.15,2.9,4
44900,4,3,2020,5.7,2.38,3
44900,13,2,2005,8.13,2.59,3
44900,8,2,2019,6.8,2.5,4
44900,12,2,1975,9.7,3.35,7
44900,6,2,2015,7.39,2.79,4
44900,6,2,2015,7.39,2.79,4
48500,21,2,2010,9,2.2,2
48500,7,2,2014,6.65,2.3,3
44800,12,2,1910,14.5,3.6,7
45000,4,2,2007,7.44,2.94,4
45000,7,2,2007,8.04,2.95,3
45000,10,2,1962,6.1,1.98,6
45000,6,2,2003,8.23,3.1,4
45000,16,2,1996,11.25,3.6,4
45000,16,2,1989,9.54,3.1,3
45000,13,2,1984,11.4,3.4,7
45000,8,2,2019,6.4,2.5,4
45000,13,2,1983,10.3,3.05,3
45000,21,1,2019,7.25,2.5,3
45000,6,2,2015,6.92,2.65,4
45000,22,2,2015,6.1,2.5,9
45000,1,1,2020,6.86,2.48,4
49000,20,2,1938,13,3,7
48900,2,1,2020,5.75,2.54,3
48500,13,2,2000,7.66,2.61,3
48500,10,2,2006,6,2.45,3
48790,4,1,2019,6.45,2.5,3
43550,7,2,1988,10,3.27,3
43550,13,2,2000,9.6,3.35,3
45000,13,2,1994,9.92,3.1,3
45000,13,2,1996,9.86,3.24,3
45000,16,2,2009,8,2,3
45000,13,2,1990,11,4,3
